Algorithm,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,MCC,FPR,TP,FP,FN,TN,TrainTime_s,InferTime_ms_per_1k
Random Forest (behaviour only),93.0625,93.39622641509435,86.69001751313485,89.91825613079018,96.75075656704736,95.267453962904,0.8477772867917506,3.4013605442176873,1485,105,228,2982,,40.375
Random Forest (behaviour + network),96.5,96.8465736810188,93.2282545242265,95.0029744199881,97.86366607911337,97.19930814879899,0.9235092852431677,1.6844833171363784,1597,52,116,3035,,32.726
Random Forest (full (+EVGF)),97.08333333333333,97.81155015197568,93.92877991827204,95.83085169743896,97.8002209139848,96.68298673433988,0.936347967540433,1.1661807580174928,1609,36,104,3051,,30.029
