Algorithm,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,MCC,FPR,TP,FP,FN,TN,TrainTime_s,InferTime_ms_per_1k
Supervised only - in-distribution,97.08333333333333,97.81155015197568,93.92877991827204,95.83085169743896,97.8002209139848,96.68298673433988,0.936347967540433,1.1661807580174928,1609,36,104,3051,,32.064
Supervised only - ZERO-DAY family,64.53,50.0,0.563856780377784,1.1151379983272929,72.360471114442,59.58009156363608,0.0192466218681516,0.3099333643266698,20,20,3527,6433,,24.008
AdShield-X cascade - ZERO-DAY family,91.28,91.11589302182601,83.5635748519876,87.17647058823529,92.15374896821768,89.00626336150299,0.8076224192476734,4.478537114520378,2964,289,583,6164,,32.037
AdShield-X cascade - in-distribution,95.3125,92.85714285714286,94.10391126678343,93.47636996230791,97.69185354624433,96.47195443579812,0.8982354690256702,4.016844833171364,1612,124,101,2963,,39.272
